sample_name,pop,country,sex,stage,latitude,longitude,collector,catching_method,host_plant_genus,date,notes,,,
HMP5,Hampshire,UK,F,adult,51.32862,-0.8173,Ben Dale,by_hand,NA,04/12/2025,,,,
HRF01,Herefordshire,UK,M,adult,52.23889,-2.94598,David Griffith,NA,NA,12/01/2026,,,,
INV1,Invernessshire,UK,M,adult,57.33247,-6.41326,Keith Sadler,light,NA,09/01/2026,,,,
KEN27,Kent,UK,F,adult,50.83633,0.249585,Emily-Jayne Saunders,lobster_pot_trap,NA,,location_approximate,,,
NOF1,Norfolk,UK,M,adult,52.72735,1.293663,Laura Lambert,light,NA,19/01/2026,,,,
NOF2,Norfolk,UK,M,adult,52.72735,1.293663,Laura Lambert,light,NA,21/01/2026,,,,
NOF3,Norfolk,UK,M,adult,52.72735,1.293663,Laura Lambert,light,NA,21/01/2026,,,,
NOF4,Norfolk,UK,M,adult,52.72735,1.293663,Laura Lambert,light,NA,21/01/2026,,,,
NOF5,Norfolk,UK,M,adult,52.72735,1.293663,Laura Lambert,light,NA,21/01/2026,,,,
NOF6,Norfolk,UK,M,adult,52.72735,1.293663,Laura Lambert,light,NA,23/01/2026,,,,
NTM08,Northumberland,UK,M,adult,55.2082,-1.63227,Jonathan Wallace,light,NA,11/12/2025,,,,
OXF01,Oxfordshire,UK,M,adult,51.59291,-1.24353,Marc Botham,by_hand,NA,06/12/2025,,,,
OXF02,Oxfordshire,UK,M,adult,51.59291,-1.24353,Marc Botham,by_hand,NA,06/12/2025,,,,
OXF02,Oxfordshire,UK,M,adult,51.59291,-1.24353,Marc Botham,by_hand,crataegus,06/12/2025,,,,
OXF05,Oxfordshire,UK,M,adult,51.59291,-1.24353,Marc Botham,by_hand,corylus,06/12/2025,,,,
OXF1,Oxfordshire,UK,F,adult,51.59291,-1.24353,Marc Botham,by_hand,NA,06/12/2025,,,,
OXF3,Oxfordshire,UK,F,adult,51.59291,-1.24353,Marc Botham,by_hand,crataegus,06/12/2025,,,,
OXF5,Oxfordshire,UK,F,adult,51.59291,-1.24353,Marc Botham,by_hand,corylus,06/12/2025,,,,
PER011,Perthshire,UK,M,adult,56.46971,-3.21083,Cathy Caudwell,light,NA,07/12/2025,,,,
PER012,Perthshire,UK,M,adult,56.46971,-3.21083,Cathy Caudwell,light,NA,07/12/2025,,,,
PER018,Perthshire,UK,M,adult,56.46971,-3.21083,Cathy Caudwell,light,NA,07/12/2025,,,,
PER16,Perthshire,UK,M,adult,56.46971,-3.21083,Cathy Caudwell,light,NA,07/12/2025,,,,
PER17,Perthshire,UK,F,adult,56.46971,-3.21083,Cathy Caudwell,lobster_pot_trap,betula,28/11/2025,,,,
ROS13,Ross-shire,UK,M,adult,57.59844,-4.135,Peter Hall,by_hand,NA,06/12/2025,,,,
ROS14,Ross-shire,UK,M,adult,57.59844,-4.135,Peter Hall,by_hand,NA,01/12/2025,,,,
ROS15,Ross-shire,UK,M,adult,57.59844,-4.135,Peter Hall,by_hand,NA,26/11/2025,,,,
ROS16,Ross-shire,UK,M,adult,57.59844,-4.135,Peter Hall,by_hand,NA,22/11/2025,,,,
ROS17,Ross-shire,UK,M,adult,57.59844,-4.135,Peter Hall,by_hand,NA,04/12/2025,,,,
ROS18,Ross-shire,UK,M,adult,57.59844,-4.135,Peter Hall,by_hand,NA,28/11/2025,,,,
ROX01,Roxboroughshire,UK,M,adult,55.60339,-2.42215,Andrew Smith,by_hand,NA,15/11/2025,,,,
SSX8,Sussex,UK,M,adult,51.00177,-0.54058,Dave Green,by_hand,NA,17/01/2026,,,,
STH01,Sutherland,UK,M,adult,57.89493,-4.13569,Fay Wilkinson,by_hand,NA,18/12/2025,,,,
SOM01,Somerset,UK,M,adult,51.1834325,-3.5935693,Denise Wawman,by_hand,NA,17/1/2026,,,,
SOM011,Somerset,UK,M,adult,51.381535,-2.3983159,Anne Crowe,light,NA,1/12/2025,,,,
DEV010,Devon,UK,M,adult,50.53767,-3.8429,Barry Henwood,by_hand,rubus,23/12/2025,,,,
HRF02,Herefordshire,UK,M,adult,52.23889,-2.94598,David Griffith,NA,NA,12/01/2026,,,,
HRF03,Herefordshire,UK,M,adult,52.23889,-2.94598,David Griffith,NA,Oak,12/01/2026,,,, 
HRF04,Herefordshire,UK,M,adult,52.23889,-2.94598,David Griffith,NA,Oak,12/01/2026,,,,
HRF05,Herefordshire,UK,M,adult,52.23889,-2.94598,David Griffith,NA,Oak,12/01/2026,,,,
HRF06,Herefordshire,UK,M,adult,52.23889,-2.94598,David Griffith,NA,NA,12/01/2026,,,,
