sample_name,pop,country,sex,stage,latitude,longitude,collector,catching_method,host_plant_genus,date,notes,,,
H4_4,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
H4_5,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
H4_7,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
L4_1,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
L4_2,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
L4_3,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
L4_4,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
L4_6,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
L4_7,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
L4_8,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
L4_9,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
L4_10,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_1,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_2,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_3,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_4,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_5,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_6,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_7,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_8,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_9,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
N8_10,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
P7_1,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
P7_3,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
P7_4,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
P7_5,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
P7_6,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
P7_7,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
P7_8,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
P7_9,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
A_17321B_1,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
A_17321B_2,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
A_17321B_3,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
A_17321B_5,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
A_17321B_6,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
A_17321B_8,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
A_17321B_10,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
A_17321B_11,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
EDI_M14,Edinburgh,UK,M,adult,55.978118,-3.3986567,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
EDI_M16,Edinburgh,UK,M,adult,55.978118,-3.3986567,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
EDI_M17,Edinburgh,UK,M,adult,55.978118,-3.3986567,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
EDI_M18,Edinburgh,UK,M,adult,55.978118,-3.3986567,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
EDI_F12,Edinburgh,UK,F,adult,55.978118,-3.3986567,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
EDI_M12,Edinburgh,UK,M,adult,55.978118,-3.3986567,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
EDI_M13,Edinburgh,UK,M,adult,55.978118,-3.3986567,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GLF_M21,Glenfarg,UK,M,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GLF_M22,Glenfarg,UK,M,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GLF_M23,Glenfarg,UK,M,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GLF_M27,Glenfarg,UK,M,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GLF_M32,Glenfarg,UK,M,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GLF_F6,Glenfarg,UK,F,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
GLF_F10,Glenfarg,UK,F,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
GLF_F16,Glenfarg,UK,F,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
GLF_M30,Glenfarg,UK,M,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
GLF_M20,Glenfarg,UK,M,adult,56.30158,-3.3589,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
MCH_F8,Montcrieff_Hill,UK,F,adult,56.35749,-3.37509,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
MCH_F7,Montcrieff_Hill,UK,F,adult,56.35749,-3.37509,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
BIR_F11,Birnam,UK,F,adult,56.53707,-3.53395,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
BLG_F15,Ballinluig,UK,F,adult,56.64949,-3.66322,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
ART_M2,Artafallie,UK,M,adult,57.5084,-4.30645,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
ART_M4,Artafallie,UK,M,adult,57.5084,-4.30645,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
ART_M5,Artafallie,UK,M,adult,57.5084,-4.30645,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
ART_M6,Artafallie,UK,M,adult,57.5084,-4.30645,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
ART_M9,Artafallie,UK,M,adult,57.5084,-4.30645,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
ART_F2,Artafallie,UK,F,adult,57.5084,-4.30645,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
ART_F3,Artafallie,UK,F,adult,57.5084,-4.30645,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
ART_F13,Artafallie,UK,F,adult,57.5084,-4.30645,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
MUN_F1,Munlochy,UK,F,adult,57.5525,-4.2784,AndreaEstandia_RonaLearmonth,lobster_pot_trap,,,,,,
GUL1,Gulset,Norway,M,adult,59.2440088,9.58981581,AndreaEstandia_RonaLearmonth,by_hand,,,,,,
